Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Data Scientist, Personalization",$78K - $176K (Glassdoor est.),"Data, Research & Insights
Data Science
The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them. We ask that our team members be physically located in Central European time or Eastern Standard/Daylight time zones for the purposes of our collaboration hours.
Location
New York or Remote Americas
Job type",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Senior Data Scientist,$78K - $138K (Glassdoor est.),"This teammate will be responsible for leading advanced analytics projects using big data and advanced data science method & technologies supporting Schnucks' innovation and business goals. This role will focus on producing insights that will improve customer experience, operational effectiveness, and increase business value.

A successful candidate will be a problem solver who enjoys diving into data, is excited by difficult modeling challenges, and possesses strong communication skills to effectively interface between technical and business teams.

The Senior Data Scientist will design quantitative systems and forecasting models focused on business predictions of the highest level of visibility and importance for Schnucks' growth.This role will use advanced statistical and machine learning techniques to create scalable optimization and predictive systems supporting our company strategy. This role will partner across our business, data, and IT organizations to build end-to-end data pipelines to deploy advanced models having exposure to senior leadership by communicating results and provide scientific guidance to the business.

In addition, this role will contribute to the development of Schnucks' data science best practices, including analytics governance model development and deployment, data science program and principles development, and technology toolkit development and training. This role will act as a trusted adviser to help shape and deploy Schnucks' data science strategy, and lead fundamental aspects of our evegreen Data Science training program.


Perform analysis using data science techniques on structured and unstructured data sets, and develop algorithms for targeted business needs. Design and develop data models to predict business outcomes or future impact of decisions. Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation, and model implementation.
Design and construct analysis tools that extract, and analyze data and store analytical results in an appropriate format for business needs. Conduct exploratory data analysis from complex data sources and build key data sets to support Schnucks' mission. Use deep learning, machine learning and analytical techniques to create scalable solutions for business problems.
Evaluate and design experiments to monitor key metrics and identify improvement opportunities. Develop mathematical and statistical models to distinguish relevant content or events and recognize patterns. Participate in presentations and communicate results of analysis and findings. Collaborate with information technology or external vendors in the deployment of insights through company applications.
Co-lead development, deployment and maintenance of SMI's evergreen Data Science training program. Evaluate and utilize appropriate BI/data visualization tools available in the toolkit to streamline insights deployment.
Stay up-to-date to most current evolvement in the Analytics and Data Science arena, with focus on personal development applied towards on the job experiences.
Actively assist and collaborate with others in the department in the continuous learning and knowledge sharing process across the Analytics & Science continuum
Support Schnucks' data science governance maturity, by contributing to development of analytics governance, best practices, and methodologies.
Track general business activity and provide clear, compelling management reporting on a regular basis.


Graduate level education.
3 to 5 years.


+4 years of experience in modeling and statistical analysis of large data sets in data science roles, involving data extraction, analysis, statistical modeling, and communication. Leverage of G Suite with solid storytelling skills.
Knowledge of SQL and RDBMS. Strong domain knowledge in query languages, programming languages and statistical computing. Prior experience leveraging cloud computing solutions and Alteryx preferred.
Experience with mixed integer linear programming and CPLEX is preferred.
Strong attention to detail. Strong project management skills.
Past and current experience writing and speaking about complex technical concepts to broad audiences in a simplified format. Track record of diving into data to discover hidden patterns.
Previous experience working in the areas of inferential statistics, machine learning, and artificial intelligence preferred.
Graduate degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science, or equivalent experience.
4+ years of experience in data science capabilities including data mining, predictive modeling, machine learning, statistical modeling, large scale data acquisition, transformation, and structured and unstructured data analysis.
Experience with database technologies, query language, as well as fluency in managing and analyzing large data sets of data with advanced tools, such as R and Python etc.
Ability to handle large amounts of data, identify key information and provide insightful recommendations to all levels within the organization.
Ability to communicate well, form strong partnerships and powerfully convey their recommendations in order to gain action on their insights.
Highly self-motivated with a strong sense of urgency to be able to work both independently and in team settings in a fast-paced environment; capability to manage urgency timelines.
Excellent communication, service orientation and strong relationship building skills.


minimum of six months employment with Schnucks.
minimum of one year employment with Schnucks.
Must be in good standing (not on a performance improvement plan or active discipline).
If invited for an interview, must have manager approval based on performance.

Schnucks is an Equal Opportunity Employer.",3.2,"Schnucks
3.2","Saint Louis, MO",10000+ Employees,1939,Company - Private,Grocery Stores & Supermarkets,Retail,$2 to $5 billion (USD)
Data Scientist (Remote),-1,"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.",3.5,"Yelp
3.5",Remote,5001 to 10000 Employees,2004,Company - Public,Internet,Information Technology,$500 million to $1 billion (USD)
Data Scientist - Experiments and Analytics,Employer Provided Salary:$70K,"About FoodServiceDirect:
Food Service Direct Logistics (FSD) is one of the leading digital e-commerce marketplace platforms in the US. Recently, FSD became the subsidiary of a Fortune 500 international company and we are looking to expand our services aggressively. To support our ambitious growth agenda, we are looking for highly technical people to join our Data Science team that love working with autonomy and ownership.
The Role:
We are looking for causal inference and experimental design expert data scientists. We are interested in individuals with a solid statistical background, and experience with experimental design and/or causal inference techniques. You will be formulating and testing causal hypotheses using available data, and defining the best course of action to empirically assess the success or failure of planned actions.",-1,FoodServiceDirect.com,"Hampton, VA",-1,-1,-1,-1,-1,-1
Associate Data Scientist,$72K - $126K (Glassdoor est.),"Why Patients Need You
Pfizer Worldwide Medical and Safety colleagues play a key role in connecting evidenced based, medical decision support with colleagues and stakeholders to enable better health and treatment outcomes. Whether you are creating framework necessary to ensure our evidence is scientifically sound, providing unbiased, medically necessary expertise or investigating how to close gaps in data, our mission is simple. Empower healthcare decisions regarding the safe and appropriate use of medicines for patients.
What You Will Achieve
It is our mission to strengthen the oversight of our clinical data through stronger ownership, control, and visibility. You will play an important role in processing, reviewing and receiving clinical data and records and from therapeutic groups as well as internal and outside investigators. You will ensure that accurate, timely, and consistent data reaches the clinical teams and other groups. You will be relied on for data management plans including data preparation and validation activities, among others.

Medical
#LI-PFE",4.2,"Pfizer
4.2","Peapack, NJ",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist - Entry Level,-1,"As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.
Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.
This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.
Primary job location is in Sacramento, but work-from-home option is available.

Qualifications",-1,Numerdox,"Sacramento, CA",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$100K - $120K,"Are you looking for meaning and purpose in the work you do?
Granicus is a global (remote first) software as a service company building products for the public sector. We digitize government services for all levels of government: city, county, state and federal. We also work with the UK, Canada, Australia and EU.
Examples of our work:
City of Oakland, California has used Granicus solutions to enhance its transparency and citizen engagement efforts.

In the aftermath of Hurricane Harvey, the City of Hurst, Texas was inundated with calls and emails about how to provide donations, dollars or a helping hand, which consumed valuable staff time. They needed a “central source of truth” and an easier way to get vital information to residents before, during and after the hurricane.",3.7,"Granicus
3.7",Colorado,501 to 1000 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Scientist,$77K - $140K (Glassdoor est.),"Join Macquarie Asset Management as a Data Scientist. In this role, you will collaborate with business and analytics leaders to generate insights and answer business questions by using analytics techniques such as advanced data visualization, statistical analysis, randomized testing, predictive modelling, forecasting, optimization, and/or machine learning. You will use your expertise to propose innovative ways to look at problems by using these approaches on available enterprise data and third-party data and validate findings using experimental and iterative approaches. You will work across the organization with global teams across different time zones.

Your key responsibilities will include:
working with business partners to identify and refine use cases",3.8,"Macquarie Group Limited
3.8","Kansas City, MO",10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
"Data Scientist II, Brand Marketing",-1,"JOB DESCRIPTION
At Levi Strauss & Co , w e a re revolutionizing the apparel business and redefining the way denim is made.
We are taking one of the world’s most iconic brands into the next century:
from creating machine learning -powered denim finishes to using block-chain for our factory workers ’ wellbeing, to building algorithms to better meet the needs of our consumers and optimize our supply chain .
B e a pioneer in the fashion industry by joining our global Data, Analytics & AI “ startup with “assets , ” where you will have the chance to build exciting solutions that will impact our global business across continents .





Remote - USA
Full time",4.0,"Levi Strauss & Co.
4.0",Remote,10000+ Employees,1853,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD)
Data Scientist I (CNN +),$84K - $185K (Glassdoor est.),"JOB DESCRIPTION

Company Overview WarnerMedia is a powerful portfolio of iconic entertainment, news, and sports brands. We bring people, technology, and the world’s best storytellers together to drive culture and meaningful connection. We believe the enduring power of stories can open our eyes to the world, to each other, and to new and different perspectives.CNN invented cable news in 1980, defined online news in 1995 and is now taking the next step in expanding what news can be by launching CNN+. With an unrivaled global reach, storytelling, and world class talent, we are building CNN+, a streaming product that will grow the reach and scope of the CNN brand in a way that no one else is doing. We are journalists, designers and technologists, all united by a powerful mission to inform, engage and empower the world. Join the most trusted and recognized name in news as we build our next chapter. Join us. Shape your story here.The JobReporting to the Sr. Manager, Data Science this role will help to develop the predictive insights and prescriptive capabilities behind CNN’s emerging products, transforming first- and third- party data into quantitative findings, visualizations, and automation. Core areas of focus and outcomes include: Data Exploration. Leverage our internal data platforms to quantify and identify patterns in user engagement and activation, funnel optimization, and retention.Statistical- and Machine Learning capabilities. Design and implement end-to-end models that predict user behavior and prescribe business actions using Python, R, and/or Spark. Preference will be given to candidates with experience with building time series-based solutions.Analytical problem-solving. The ability to break down quantitative findings into meaningful insights and develop recommendations that lead to informed decision-making.Automated solutioning. Transform ad hoc requests for predictive and prescriptive insights into prototype data products, ushering ‘light’ orchestration and monitoring through production-quality builds in collaboration with ML- and data engineers.This is a collaborative role that will work alongside engineers, analysts, and data scientists to impact cross-functional teams of product managers; revenue, content, and design strategists; consumer scientists; and audience researchers. You'll help make informed decisions faster by providing the tactical information necessary to better understand our users, content, and products.The Daily Partner closely with various business and analytics teams, serving as a product data science expert with an eye toward revenue and growthParticipate in answering ad hoc project and data requests from various business units and organizationsDesign and build reports that clearly communicate quantitative analysesBuild clear documentation around ad hoc analyses, methodology, and data definitions for raw and munged dataCollaborate with both the data intelligence organization and its technology partners to identify opportunities for new dataproductsThe Essentials Understanding of applied statistics and machine learning algorithms, including methodologies for regressions, classification, clustering, and causality2 years' experience building data science driven solutions to solve business problems, preferably within online direct-to-consumer (DTC) organizations2 years of data science experience querying databases (SQL) and leveraging a scripting language (Python, R, or Scala) to analyze data within a cloud environment· Experience with standard data science orchestration and automation (Airflow, DBT, lambda), and the ability to prototype solutions before transferring to engineering teams for final build approval.Domain knowledge of the end-to-end consumer journey, including demonstrated ability to form questions and design supporting analysisA quick learner can work independently in a matrixed environment, adaptability and a strong self-teaching ethicThrives in a fast-paced, dynamic, and agile environment that can pivot quickly to capture opportunities from the users and business's changing needs.Academic background in quantitative field such as business, marketing, behavioral science, or applied math a plusThe PerksExclusive WarnerMedia events and advance screeningsPaid time off every year to volunteer for eligible employeesAccess to well-being tools, resources, and freebiesAccess to in-house learning and development resourcesPart of the WarnerMedia family of powerhouse brandsWarner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.",3.9,"WarnerMedia
3.9","New York, NY",10000+ Employees,2003,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
"Data Scientist, Client Analytics",Employer Provided Salary:$95K - $125K,"The Opportunity
Come build the data and analytics tools that will help real people live measurably better lives. As a key part of our client analytics team, you'll work with cutting-edge data processing frameworks, technologies, and platforms to empower client-facing teams with the tools that enhance and reinforce Teladoc Health's value proposition. Your contributions will drive growth and client retention, while providing a better way for Teladoc Health members to manage chronic health conditions.
The client analytics effort within Data Science at Teladoc Health works closely client success teams
and product management to analyze, draw insights and tell stories rooted in data for our rapidly scaling roster of clients. This is an opportunity to use technical rigor to apply data science and analytics insights to real-world problems.",3.9,"Teladoc Health
3.9","Denver, CO",1001 to 5000 Employees,2002,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Data Scientist (all levels),Employer Provided Salary:$110K - $175K,"At Shelf Engine, our mission is to reduce food waste through automation. We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States. We're able to drastically reduce the amount of food waste generated while simultaneously maximizing sales and expanding margins for grocers—a triple win for suppliers and retailers, consumers, and the environment.
We are looking for Data Scientists of all levels to join our growing team. You will research, build, and deploy sophisticated models and tooling to solve complex supply chain and business problems on data at scale. You will apply your knowledge and experience in statistics and machine learning, your business acumen, and your skills in code and productionalization to prototype, launch, monitor, and iterate. Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference, optimization, A/B Testing, machine learning engineering, ML Ops, decision science, and data ops.",4.7,"Shelf Engine
4.7","Seattle, WA",51 to 200 Employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist (100% Remote),$87K - $154K (Glassdoor est.),"Data Scientist:
Frontdoor is building an elite team of data scientists and engineers that will leverage the power of machine learning and AI to transform its core business and drive business impact. With data from 2M customers nation-wide acquired over 40 years of experience, our business is ripe for a disruption where legacy manual processes can be automated, enhanced, and scaled, creating high business value. There is a wide variety of new and exciting problems to solve, many of which are unique to our industry, such as automated repair recommendations, dynamic pricing, cost modeling, predicting time to failure, repair vs replace decisions, cycle-time prediction, and more.

We are looking for someone who is a fast and independent learner, curious, and passionate about data science and machine learning. You will be working in a diverse environment where you’ll collaborate with a multidisciplinary team of data scientists, analysts, software engineers, and product managers. You’ll be encouraged to take ownership of your projects and to find new opportunities and problems where machine learning could be applied to improve the business.


Process massive amounts of structured and unstructured data.

Build advanced supervised and unsupervised machine learning models for batch and real-time applications.

Research new machine learning solutions to complex business problems.

Develop and deploy models in production using Python.

Run A/B test experiments and analyze results.

Communicate findings to non-technical audience.

Stay current with new tools and techniques in the literature.


Masters in Computer Science, Engineering, Statistics, or related field (PhD preferred)

Excellent communication skills.

Strong background in machine learning and statistics.

Solid foundation in data structures and algorithms.

Proficiency in Python for numerical/statistical programming (including Numpy, Pandas, and Scikit-learn).

Ability to write complex SQL queries.

Experience training deep neural networks.

Experience with natural language processing.

4 or more years of industry experience building ML and statistical models.

Frontdoor is a company that’s obsessed with taking the hassle out of owning a home. With services powered by people and enabled by technology, it is the parent company of four home service plan brands: American Home Shield, HSA, Landmark and OneGuard, as well as AHS Proconnect , an on-demand membership service for home repairs and maintenance, and Streem, a technology company that enables businesses to serve customers through an enhanced augmented reality, computer vision and machine learning platform. Frontdoor serves more than two million customers across the U.S. through a network of more than 16,000 pre-qualified contractor firms that employ over 45,000 technicians. The company’s customizable home service plans help customers protect and maintain their homes from costly and unexpected breakdowns of essential home systems and appliances. With nearly 50 years of experience, the company responds to over four million service requests annually (or one request every eight seconds).For more details, visit frontdoorhome.com.

Engineering

ID: R0015748",3.1,"Frontdoor
3.1","Minneapolis, MN",1001 to 5000 Employees,2018,Company - Private,Security Services,Business Services,Unknown / Non-Applicable
JR. DATA SCIENTIST,$70K - $132K (Glassdoor est.),"ViacomCBS (NASDAQ: VIAC; VIACA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic consumer brands, its portfolio includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. The company delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, ViacomCBS provides powerful capabilities in production, distribution and advertising solutions for partners on five continents.

Advertising on all formats is being reinvented through new business models and the combination of big data, predictive analytics, optimization and other modern data science and analysis techniques. ViacomCBS advanced advertising group is at the forefront of this reinvention of advertising and is currently looking for key new individuals to join our team!

The Product Science and Analytics team is looking for a Junior Data Scientist. In this role, you will need to gain an understanding of our platform, including the predictive, simulation, and optimization models that power it – as well as how those models impact our underlying business. You will be expected to monitor and maintain existing prediction, optimization, and simulation engines. You will also implement custom queries against our data warehouse, run statistical data analyses, and other types of analyses related to platform performance. You will work closely with a dedicated science and software engineering team, as well as key operational teams, to validate and ensure platform KPI performance!


Work with data scientists, data engineers, and software engineers to deliver analysis aimed at underlying business objectives
Execute data driven methodologies to improve product performance and capability
Monitor and maintain platform health, as determined by Vantage business leadership
Ensure technical approaches taken by the Science and Analysis team are appropriate for their objective and underlying data structure
Brainstorm new functionality and features for future platform improvements
Work with semi-technical and non-technical business units in delivering actionable insights from large data sets


Passion for problem-solving and the ability to find answers to difficult questions – the sort of answers that others might struggle to find
Acute attention to detail, strong critical thinking skills, and excellent time management skills
Experience working with production data science systems
Proficiency with extracting insights from large data sets and communicating the results to non-technical staff
Highly proficient in Excel (advanced formulas, pivot tables) and PowerPoint
Comfortable programming in Python and SQL
Basic grasp of relational database structures and data management
Familiarity with cloud-based infrastructure (Amazon Web Services) or Unix/Linux based systems.
Bachelor’s Degree in a STEM field with 2+ years professional experience in data analytics, media tech or ad tech -OR- Master’s/Ph.D. in a STEM field.


Experience in media at an agency, network, or ad-tech firm with a fundamental understanding of digital, addressable, programmatic and/or television advertising
Experience working in a team environment
Strong written and oral communication skills, including experience building and leading presentations
A committed, entrepreneurial approach to building businesses within a fast-paced environment focused on changing the way partners perceive our brand and our product

ViacomCBS is an equal opportunity employer (EOE) including disability/vet.

At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",-1,ViacomCBS,"New York, NY",10000+ Employees,2019,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$100K - $120K,"Are you looking for meaning and purpose in the work you do?
Granicus is a global (remote first) software as a service company building products for the public sector. We digitize government services for all levels of government: city, county, state and federal. We also work with the UK, Canada, Australia and EU.
Examples of our work:
City of Oakland, California has used Granicus solutions to enhance its transparency and citizen engagement efforts.

In the aftermath of Hurricane Harvey, the City of Hurst, Texas was inundated with calls and emails about how to provide donations, dollars or a helping hand, which consumed valuable staff time. They needed a “central source of truth” and an easier way to get vital information to residents before, during and after the hurricane.",3.7,"Granicus Inc.
3.7",Remote,501 to 1000 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
