,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_S,Max_S,avg_salary,Country,age_company,python,java,machine learning,aws,Job,Seniority
14,Associate Data Scientist,72 - 126 ,"Why Patients Need You
Pfizer Worldwide Medical and Safety colleagues play a key role in connecting evidenced based, medical decision support with colleagues and stakeholders to enable better health and treatment outcomes. Whether you are creating framework necessary to ensure our evidence is scientifically sound, providing unbiased, medically necessary expertise or investigating how to close gaps in data, our mission is simple. Empower healthcare decisions regarding the safe and appropriate use of medicines for patients.
What You Will Achieve
It is our mission to strengthen the oversight of our clinical data through stronger ownership, control, and visibility. You will play an important role in processing, reviewing and receiving clinical data and records and from therapeutic groups as well as internal and outside investigators. You will ensure that accurate, timely, and consistent data reaches the clinical teams and other groups. You will be relied on for data management plans including data preparation and validation activities, among others.

Medical
#LI-PFE",4.2,Pfizer,"Peapack, NJ",10000+ Employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),72,126,99.0,NJ,172.0,0,0,0,0,data scientist,na
16,Data Scientist,100 - 120,"Are you looking for meaning and purpose in the work you do?
Granicus is a global (remote first) software as a service company building products for the public sector. We digitize government services for all levels of government: city, county, state and federal. We also work with the UK, Canada, Australia and EU.
Examples of our work:
City of Oakland, California has used Granicus solutions to enhance its transparency and citizen engagement efforts.

In the aftermath of Hurricane Harvey, the City of Hurst, Texas was inundated with calls and emails about how to provide donations, dollars or a helping hand, which consumed valuable staff time. They needed a “central source of truth” and an easier way to get vital information to residents before, during and after the hurricane.",3.7,Granicus,Colorado,501 to 1000 Employees,1999.0,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),100,120,110.0,do,22.0,0,0,0,0,data scientist,na
17,Data Scientist,77 - 140 ,"Join Macquarie Asset Management as a Data Scientist. In this role, you will collaborate with business and analytics leaders to generate insights and answer business questions by using analytics techniques such as advanced data visualization, statistical analysis, randomized testing, predictive modelling, forecasting, optimization, and/or machine learning. You will use your expertise to propose innovative ways to look at problems by using these approaches on available enterprise data and third-party data and validate findings using experimental and iterative approaches. You will work across the organization with global teams across different time zones.

Your key responsibilities will include:
working with business partners to identify and refine use cases",3.8,Macquarie Group Limited,"Kansas City, MO",10000+ Employees,1969.0,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),77,140,108.5,MO,52.0,0,0,1,0,data scientist,na
19,Data Scientist I (CNN +),84 - 185 ,"JOB DESCRIPTION

Company Overview WarnerMedia is a powerful portfolio of iconic entertainment, news, and sports brands. We bring people, technology, and the world’s best storytellers together to drive culture and meaningful connection. We believe the enduring power of stories can open our eyes to the world, to each other, and to new and different perspectives.CNN invented cable news in 1980, defined online news in 1995 and is now taking the next step in expanding what news can be by launching CNN+. With an unrivaled global reach, storytelling, and world class talent, we are building CNN+, a streaming product that will grow the reach and scope of the CNN brand in a way that no one else is doing. We are journalists, designers and technologists, all united by a powerful mission to inform, engage and empower the world. Join the most trusted and recognized name in news as we build our next chapter. Join us. Shape your story here.The JobReporting to the Sr. Manager, Data Science this role will help to develop the predictive insights and prescriptive capabilities behind CNN’s emerging products, transforming first- and third- party data into quantitative findings, visualizations, and automation. Core areas of focus and outcomes include: Data Exploration. Leverage our internal data platforms to quantify and identify patterns in user engagement and activation, funnel optimization, and retention.Statistical- and Machine Learning capabilities. Design and implement end-to-end models that predict user behavior and prescribe business actions using Python, R, and/or Spark. Preference will be given to candidates with experience with building time series-based solutions.Analytical problem-solving. The ability to break down quantitative findings into meaningful insights and develop recommendations that lead to informed decision-making.Automated solutioning. Transform ad hoc requests for predictive and prescriptive insights into prototype data products, ushering ‘light’ orchestration and monitoring through production-quality builds in collaboration with ML- and data engineers.This is a collaborative role that will work alongside engineers, analysts, and data scientists to impact cross-functional teams of product managers; revenue, content, and design strategists; consumer scientists; and audience researchers. You'll help make informed decisions faster by providing the tactical information necessary to better understand our users, content, and products.The Daily Partner closely with various business and analytics teams, serving as a product data science expert with an eye toward revenue and growthParticipate in answering ad hoc project and data requests from various business units and organizationsDesign and build reports that clearly communicate quantitative analysesBuild clear documentation around ad hoc analyses, methodology, and data definitions for raw and munged dataCollaborate with both the data intelligence organization and its technology partners to identify opportunities for new dataproductsThe Essentials Understanding of applied statistics and machine learning algorithms, including methodologies for regressions, classification, clustering, and causality2 years' experience building data science driven solutions to solve business problems, preferably within online direct-to-consumer (DTC) organizations2 years of data science experience querying databases (SQL) and leveraging a scripting language (Python, R, or Scala) to analyze data within a cloud environment· Experience with standard data science orchestration and automation (Airflow, DBT, lambda), and the ability to prototype solutions before transferring to engineering teams for final build approval.Domain knowledge of the end-to-end consumer journey, including demonstrated ability to form questions and design supporting analysisA quick learner can work independently in a matrixed environment, adaptability and a strong self-teaching ethicThrives in a fast-paced, dynamic, and agile environment that can pivot quickly to capture opportunities from the users and business's changing needs.Academic background in quantitative field such as business, marketing, behavioral science, or applied math a plusThe PerksExclusive WarnerMedia events and advance screeningsPaid time off every year to volunteer for eligible employeesAccess to well-being tools, resources, and freebiesAccess to in-house learning and development resourcesPart of the WarnerMedia family of powerhouse brandsWarner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.",3.9,WarnerMedia,"New York, NY",10000+ Employees,2003.0,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),84,185,134.5,NY,18.0,1,0,1,0,data scientist,na
20,"Data Scientist, Client Analytics",95 - 125,"The Opportunity
Come build the data and analytics tools that will help real people live measurably better lives. As a key part of our client analytics team, you'll work with cutting-edge data processing frameworks, technologies, and platforms to empower client-facing teams with the tools that enhance and reinforce Teladoc Health's value proposition. Your contributions will drive growth and client retention, while providing a better way for Teladoc Health members to manage chronic health conditions.
The client analytics effort within Data Science at Teladoc Health works closely client success teams
and product management to analyze, draw insights and tell stories rooted in data for our rapidly scaling roster of clients. This is an opportunity to use technical rigor to apply data science and analytics insights to real-world problems.",3.9,Teladoc Health,"Denver, CO",1001 to 5000 Employees,2002.0,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),95,125,110.0,CO,19.0,0,0,0,0,data scientist,na
21,Data Scientist (all levels),110 - 175,"At Shelf Engine, our mission is to reduce food waste through automation. We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States. We're able to drastically reduce the amount of food waste generated while simultaneously maximizing sales and expanding margins for grocers—a triple win for suppliers and retailers, consumers, and the environment.
We are looking for Data Scientists of all levels to join our growing team. You will research, build, and deploy sophisticated models and tooling to solve complex supply chain and business problems on data at scale. You will apply your knowledge and experience in statistics and machine learning, your business acumen, and your skills in code and productionalization to prototype, launch, monitor, and iterate. Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference, optimization, A/B Testing, machine learning engineering, ML Ops, decision science, and data ops.",4.7,Shelf Engine,"Seattle, WA",51 to 200 Employees,2016.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,110,175,142.5,WA,5.0,0,0,1,0,data scientist,na
22,Data Scientist (100% Remote),87 - 154 ,"Data Scientist:
Frontdoor is building an elite team of data scientists and engineers that will leverage the power of machine learning and AI to transform its core business and drive business impact. With data from 2M customers nation-wide acquired over 40 years of experience, our business is ripe for a disruption where legacy manual processes can be automated, enhanced, and scaled, creating high business value. There is a wide variety of new and exciting problems to solve, many of which are unique to our industry, such as automated repair recommendations, dynamic pricing, cost modeling, predicting time to failure, repair vs replace decisions, cycle-time prediction, and more.

We are looking for someone who is a fast and independent learner, curious, and passionate about data science and machine learning. You will be working in a diverse environment where you’ll collaborate with a multidisciplinary team of data scientists, analysts, software engineers, and product managers. You’ll be encouraged to take ownership of your projects and to find new opportunities and problems where machine learning could be applied to improve the business.


Process massive amounts of structured and unstructured data.

Build advanced supervised and unsupervised machine learning models for batch and real-time applications.

Research new machine learning solutions to complex business problems.

Develop and deploy models in production using Python.

Run A/B test experiments and analyze results.

Communicate findings to non-technical audience.

Stay current with new tools and techniques in the literature.


Masters in Computer Science, Engineering, Statistics, or related field (PhD preferred)

Excellent communication skills.

Strong background in machine learning and statistics.

Solid foundation in data structures and algorithms.

Proficiency in Python for numerical/statistical programming (including Numpy, Pandas, and Scikit-learn).

Ability to write complex SQL queries.

Experience training deep neural networks.

Experience with natural language processing.

4 or more years of industry experience building ML and statistical models.

Frontdoor is a company that’s obsessed with taking the hassle out of owning a home. With services powered by people and enabled by technology, it is the parent company of four home service plan brands: American Home Shield, HSA, Landmark and OneGuard, as well as AHS Proconnect , an on-demand membership service for home repairs and maintenance, and Streem, a technology company that enables businesses to serve customers through an enhanced augmented reality, computer vision and machine learning platform. Frontdoor serves more than two million customers across the U.S. through a network of more than 16,000 pre-qualified contractor firms that employ over 45,000 technicians. The company’s customizable home service plans help customers protect and maintain their homes from costly and unexpected breakdowns of essential home systems and appliances. With nearly 50 years of experience, the company responds to over four million service requests annually (or one request every eight seconds).For more details, visit frontdoorhome.com.

Engineering

ID: R0015748",3.1,Frontdoor,"Minneapolis, MN",1001 to 5000 Employees,2018.0,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,87,154,120.5,MN,3.0,1,0,1,0,data scientist,na
23,JR. DATA SCIENTIST,70 - 132 ,"ViacomCBS (NASDAQ: VIAC; VIACA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic consumer brands, its portfolio includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. The company delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, ViacomCBS provides powerful capabilities in production, distribution and advertising solutions for partners on five continents.

Advertising on all formats is being reinvented through new business models and the combination of big data, predictive analytics, optimization and other modern data science and analysis techniques. ViacomCBS advanced advertising group is at the forefront of this reinvention of advertising and is currently looking for key new individuals to join our team!

The Product Science and Analytics team is looking for a Junior Data Scientist. In this role, you will need to gain an understanding of our platform, including the predictive, simulation, and optimization models that power it – as well as how those models impact our underlying business. You will be expected to monitor and maintain existing prediction, optimization, and simulation engines. You will also implement custom queries against our data warehouse, run statistical data analyses, and other types of analyses related to platform performance. You will work closely with a dedicated science and software engineering team, as well as key operational teams, to validate and ensure platform KPI performance!


Work with data scientists, data engineers, and software engineers to deliver analysis aimed at underlying business objectives
Execute data driven methodologies to improve product performance and capability
Monitor and maintain platform health, as determined by Vantage business leadership
Ensure technical approaches taken by the Science and Analysis team are appropriate for their objective and underlying data structure
Brainstorm new functionality and features for future platform improvements
Work with semi-technical and non-technical business units in delivering actionable insights from large data sets


Passion for problem-solving and the ability to find answers to difficult questions – the sort of answers that others might struggle to find
Acute attention to detail, strong critical thinking skills, and excellent time management skills
Experience working with production data science systems
Proficiency with extracting insights from large data sets and communicating the results to non-technical staff
Highly proficient in Excel (advanced formulas, pivot tables) and PowerPoint
Comfortable programming in Python and SQL
Basic grasp of relational database structures and data management
Familiarity with cloud-based infrastructure (Amazon Web Services) or Unix/Linux based systems.
Bachelor’s Degree in a STEM field with 2+ years professional experience in data analytics, media tech or ad tech -OR- Master’s/Ph.D. in a STEM field.


Experience in media at an agency, network, or ad-tech firm with a fundamental understanding of digital, addressable, programmatic and/or television advertising
Experience working in a team environment
Strong written and oral communication skills, including experience building and leading presentations
A committed, entrepreneurial approach to building businesses within a fast-paced environment focused on changing the way partners perceive our brand and our product

ViacomCBS is an equal opportunity employer (EOE) including disability/vet.

At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",-1.0,ViacomCBS,"New York, NY",10000+ Employees,2019.0,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),70,132,101.0,NY,2.0,1,0,0,0,data scientist,jr
24,Data Scientist,100 - 120,"Are you looking for meaning and purpose in the work you do?
Granicus is a global (remote first) software as a service company building products for the public sector. We digitize government services for all levels of government: city, county, state and federal. We also work with the UK, Canada, Australia and EU.
Examples of our work:
City of Oakland, California has used Granicus solutions to enhance its transparency and citizen engagement efforts.

In the aftermath of Hurricane Harvey, the City of Hurst, Texas was inundated with calls and emails about how to provide donations, dollars or a helping hand, which consumed valuable staff time. They needed a “central source of truth” and an easier way to get vital information to residents before, during and after the hurricane.",3.7,Granicus Inc.,Remote,501 to 1000 Employees,1999.0,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),100,120,110.0,te,22.0,0,0,0,0,data scientist,na
25,Senior Data Scientist - Nationwide Opportunities,116,"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience
Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory
6+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models
Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?

At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.

AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.

Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.

This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

For employees based in Colorado, this position starts at $116,200 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",3.7,"Amazon Web Services, Inc.",Montana,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),116,116,116.0,na,27.0,1,1,1,1,data scientist,senior
26,Data Scientist,50 - 70 ,"** Elutions will be unable to sponsor or transfer any additional H-1B visas during the next 5 years**

Elutions is a global Enterprise AI & Automation company, empowering clients to drive continuous efficiency, cost and quality improvements. As the top leader in our industry, world-wide, we are constantly on the lookout for go-getters, people who aren't afraid to work hard, but have fun at the same time. Those who join our team aren't just bright, but are willing to develop and hone their skills every day, all while making a significant difference in the world.

Data Scientist Responsibilities:",4.0,Elutions,"Tampa, FL",1 to 50 Employees,1994.0,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),50,70,60.0,FL,27.0,0,0,0,0,data scientist,na
27,Chief Data Scientist,157 - 192,"Are you looking for meaning and purpose in the work you do?
Granicus is a global (remote first) software as a service company building products for the public sector. We digitize government services for all levels of government: city, county, state and federal. We also work with the UK, Canada, Australia and EU.
Examples of our work:
City of Oakland, California has used Granicus solutions to enhance its transparency and citizen engagement efforts.

In the aftermath of Hurricane Harvey, the City of Hurst, Texas was inundated with calls and emails about how to provide donations, dollars or a helping hand, which consumed valuable staff time. They needed a “central source of truth” and an easier way to get vital information to residents before, during and after the hurricane.",3.7,Granicus Inc.,Remote,501 to 1000 Employees,1999.0,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),157,192,174.5,te,22.0,0,0,0,0,data scientist,na
28,DATA SCIENTIST,65 - 117,"Durham County Government employs approximately 1,900 employees that work towards providing needed services throughout the community. With a wide array of services, Durham County Government is at the heart of a rapidly growing and diverse area offering residents, employees and visitors exciting opportunities to live, work, grow and play. For more information about Durham County Government, visit www.dconc.gov.

DEPARTMENT:
Fire Marshal/Emergency Mgmt

DATE POSTED:",3.7,Durham County,"Durham, NC",51 to 200 Employees,-1.0,Government,Municipal Governments,Government,$1 to $5 million (USD),65,117,91.0,NC,2022.0,0,0,0,0,data scientist,na
